term,phrase,tag1,tag2,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4
復習,…でした から、 はじめ は「 復習 コース」 から 始まりました。,名詞,,en,review,,,,,,
夏,…です から、２ 年生 の 夏 に 塾 に 入りました。,名詞,,en,(Hira=なつ) summer,,,,,,
難しい,…受験 の 勉強 は 難しい です から、２ 年生 の…,形容詞,,en,"(Hira=むずかしい,むつかしい) difficult, hard, troublesome, causing difficulty",,,,,,
受験,でも、 大学 受験 の 勉強 は 難しい…,名詞,,en,じゅけん - taking an exam,,,,,,
大学,でも、 大学 受験 の 勉強 は…,名詞,,en,(Hira=だいがく) university,,,,,,
塾,…勉強 が きらいでした から、 塾 に 行きません でした。,名詞,,en,"n. (Hira=じゅく) coaching school, lessons, private lesson, lesson given by a tutor",,,,,,
きらいでした,ずっと 勉強 が きらいでした から、 塾 に 行きません…,形容詞,きらいだ,en,hated (formal),en,hated (formal)「嫌いでした」,,,,
ずっと,ずっと 勉強 が きらいでした から、…,副詞,,en,throughout; by far,,,,,,
しません,…ぼく は 全然 心配 しません でした。,,,en,Does not,,,,,,
全然,…に 行く 友達 が 全然 いません から、 妹 は…,副詞,,en,"ぜんぜん - absolutely, utterly, totally",,,,,,
妹,２ 才 下 の 妹 は 勉強 が 好きです。,名詞,,en,"n.  (Hira=いもうと) younger sister, sister, female sibling",,,,,,
下,２ 才 下 の 妹 は 勉強…,名詞,,en,した	1: below; down; under; younger (e.g. daughter); 2: bottom; 3: beneath; underneath; 4: just after; right after; ()  5: inferiority; one's inferior (i.e. one's junior); 6: (Noun) trade-in; (Noun prefix)  7: preliminary; preparatory,,,,,,
才,２ 才 下 の 妹 は…,接尾辞,,en,"(さい) ability, years old",,,,,,
公立,…家 の 近く の 公立 高校 に 入りました。,名詞,,en,こうりつ　public (institution),,,,,,
嫌いでした,…の とき、 勉強 が 嫌いでした から、 塾 に 行きません…,形容詞,嫌いだ,en,hated,,,,,,
4 月,4 月 から 3 年生 に…,,,en,"つき moon, month",,,,,,
近く,…高校 は うち の 近く に あります から、 同じ…,形容詞,近い,en,"adj. (Hira=ちかい) near, close; short",,,,,,
高校,ぼく は 今 高校 2 年生 です。,名詞,,en,"n.  (Hira=こうこう) senior high school,",,,,,,
年生,…は 今 高校 2 年生 です。,接尾辞,,en,"ねんせい  grade, class (in a school)",,,,,,
いけない,…を 食べ なくて は いけない。,形容詞,,en,should not,,,,,,
いけ,…を 食べ なくて は いけ ませ ん。,いく,動詞,en,Go,,,,,,
アシェラッド,アシェラッド） 耳 も 遠い の…,名詞,,en,Askeladd,,,,,,
いななき,…馬 の いななき）,動詞,いななく,en,いななき	neigh of a horse,,,,,,
ジジイ,…遠い の か この ジジイ は,名詞,,en,Old man,,,,,,
ども,…アシェラッド） 動く な 衛兵 ども！,名詞,,en,共 ども	1: (Humble (kenjougo) language) first-person plural (or singular); 2: second or third person plural (implies speaker is of higher status than those referred to),,,,,,
衛兵,…アシェラッド） 動く な 衛兵 ども！,名詞,,en,（えいへい） palace guard; sentinel; garrison,,,,,,
動く,…アシェラッド） 動く な 衛兵 ども！,動詞,,en,うごく= 1: to move; to stir; to shift; to shake; to swing; 2: to operate; to run; to go; to work; 3: to be touched; to be influenced; 4: to change; to vary; to fluctuate; to waver; 5: certain; factual; 6: to be transferred,,,,,,
馬,馬 の いななき）,名詞,,en,"n.  (Hira=うま, Kata=ウマ) horse, large four-legged mammal commonly used for transportation",,,,,,
へえ,へえ、 おいしそう だ ね。,感動詞,,en,Really?,,,,,,
き,…の 未来 を 拓 き 加速 を 続ける その…,名詞,,en,to come,,,,,,
お,…語 を 勉強 し、 お 金 を 貯 め、…,接頭辞,,,,,,,,,
おかげ,おかげ 様 で 本日、2022 年…,名詞,,en,"n.  (Kanji=御蔭) thanks, gratitude",,,,,,
ライダーウィザード,祝！ 仮面 ライダーウィザード 放送 10 周年！ 記念…,名詞,,en,rider wizard,,,,,,
祝,祝！ 仮面 ライダーウィザード 放送 10…,名詞,,en,"n. (Alt=祝い, Hira=いわい) celebration, congratulation, festival, act of congratulating",,,,,,
出身,私 は「 カナダ」 出身 です。,名詞,,en,n.  origin; hometown,,,,,,
あだ名,あだ名 は あり ませ ん。,名詞,,en,"渾名 n. (Hira=あだな) nickname,",,,,,,
お呼び,なんと お呼び すれば よろしい です か？,名詞,,en,呼び 【よび】 call; invitation,,,,,,
すれば,なんと お呼び すれば よろしい です か？,動詞,する,en,sureba = v.  (Kanji=為る) do; try; play; practice; cost; elapse; reach to,,,,,,
よろしい,なんと お呼び すれば よろしい です か？,形容詞,,en,(adj-i) (hon) good; OK; all right; fine; very well; will do; may; can; KD,,,,,,
引っぱり,…重 そうな 荷物 を 引っぱり ながら 歩いて きます。,動詞,引っぱる,en,ひっぱる	1: to pull; to draw; to pull tight; 2: to string (lines); to run (cable); to stretch; 3: to pull towards oneself (e.g. someone's sleeve); 4: to drag; to haul; to tow; 5: to lead (e.g. one's followers); 6: to take someone somewhere (e.g. a suspec,,,,,,
国,お客様 は いろいろ な 国 から 来ます。,名詞,,en,n.  (Hira=くに) country; nation,en,n.  (Hira=くに) country; nation; one's homeland,,,,
肥後,江戸 時代 後期、 肥後 の 国（ 今 の…,名詞,,en,ひご  Higo (former province located in present-day Kumamoto Prefecture),,,,,,
後期,江戸 時代 後期、 肥後 の 国（ 今…,名詞,,en,こうき= latter period; final,,,,,,
時代,江戸 時代 後期、 肥後 の 国（…,名詞,,en,"じだい - era, period",,,,,,
江戸,江戸 時代 後期、 肥後 の…,名詞,,en,"えど - Edo, former name of Tokyo",,,,,,
アマビエ,妖怪 アマビエ,名詞,,en,Amabier,,,,,,
妖怪,妖怪 アマビエ,名詞,,en,"ようかい　ghost, apparition, phantom, specter",,,,,,
荷物,…様 が 重 そうな 荷物 を 引っぱり ながら 歩いて…,名詞,,en,luggage　（にもつ),,,,,,
重,…お 地蔵 様 が 重 そうな 荷物 を 引っぱり…,形容詞,重い,en,おもさ weight,,,,,,
かぶった,…中 を、 笠 を かぶった お 地蔵 様 が…,動詞,かぶる,en,"被る - wear, put on; pour water",,,,,,
すると,すると、 雪 の 中 を、…,接続詞,,en,whereupon,,,,,,
みました,…そっと 外 を のぞいて みました。,,,en,Saw,,,,,,
のぞいて,…は そっと 外 を のぞいて みました。,動詞,のぞく,en,"v.  (Kanji=覘く,覗く) peep in, look in, peek in; stick out",,,,,,
そっと,…と おばあ さん は そっと 外 を のぞいて みました。,副詞,,en,"adv.  softly, lightly; secretly, stealthily",,,,,,
きました,…が 遠く から 聞こえて きました。,,,en,came,,,,,,
聞こえて,…音 が 遠く から 聞こえて きました。,動詞,聞こえる,en,"聞こえる v. (Hira=きこえる) be heard, be audible, hear, perceive by the ear, perceive by listening",,,,,,
遠く,…と いう 音 が 遠く から 聞こえて きました。,形容詞,遠い,en,"とおく - far away, at a distance",,,,,,
音,…ダイヤル 音）,名詞,,en,sound,en,"n.  (Hira=おん,おと) sound, noise; note; music",en,おと    1. sound; noise; report​  2. note​ (music),,
ズシン,その 晩 の こと、 ズシン、 ズシン と いう 音…,名詞,,en,ズシン 【ズシン】　thud,,,,,,
晩,その 晩 の こと、 ズシン、 ズシン…,名詞,,en,(Hira=ばん) evening,en,"n.  (Hira=ばん) evening, period of time between afternoon and night; night, period of time between sunset and sunrise",en,night,,
喜び,…おばあ さん は とても 喜び、,動詞,喜ぶ,en,"(Hira=よろこび) joy, delight, pleasure",,,,,,
あげました,…いた 手ぬぐい を かぶせて あげました。,,,en,past tense; 1. to give 2. to do for (the sake of someone else),,,,,,
かぶせて,…かぶって いた 手ぬぐい を かぶせて あげました。,動詞,かぶせる,en,"v. (Kanji=被せる) cover, encase; plate; pour a liquid, dash a liquid; charge, overspread",,,,,,
手ぬぐい,…自分 の かぶって いた 手ぬぐい を かぶせて あげました。,名詞,,en,"てぬぐい) hand towel, small towel for drying the hands",,,,,,
かぶって,…じいさん は 自分 の かぶって いた 手ぬぐい を かぶせて…,動詞,かぶる,en,"wear, put on; pour water, dash water; suffer",,,,,,
自分,レシピ は 自分 で 考えた の？,名詞,,en,(Hira=じぶん) myself,en,"pron.  (Hira=じぶん) myself, oneself, I; me; to me; by me, one's own person, one's own body",,,,
足りません,…分 が ひと つ 足りません でした。,,,en,Not enough,,,,,,
かけて あげました,…様 の 頭 に かけて あげました。,,,en,I gave it to you,,,,,,
かけて,…様 の 頭 に かけて あげました。,動詞,かける,en,"掛 hang, make call (phone);",,,,,,
頭,…見て も、3 つ も 頭 が ある「 ケルベロス の…,名詞,,en,head,en,【あたま(P); かしら(P)】 (n) (1) head; (2) hair (on one's head); (3) (あたま only) mind; brains; intellect; (4) leader; chief; boss; captain; (5) top; tip; (6) beginning; start; (7) (あたま only) head; person; (8) (かしら only) top structural component of a kanji; (P,,,,
はずだった,…お じいさん は、 売る はずだった 笠 を お 地蔵…,助動詞,はずだ,en,Was supposed,,,,,,
こんなに,こんなに 雪 を かぶって さぞ…,指示詞,,en,"adv.  so, in this way, to such an extent",,,,,,
寒,…ゆき を かぶって、 なんとも 寒 そうです。,形容詞,寒い,en,"(Hira=かん) cold, low temperature, chill, frigidity",,,,,,
なんとも,…真っ白に ゆき を かぶって、 なんとも 寒 そうです。,副詞,,en,"really, truly; very, extremely",,,,,,
真っ白に,お 地蔵 様 は 真っ白に ゆき を かぶって、 なんとも…,形容詞,真っ白だ,en,真っ白な adj. (Hira=まっしろな) pure white,,,,,,
さま,…体 の お 地蔵 さま を みつけました。,名詞,,en,[Sama] (Kanji=様) Miss; Mr.; Mrs.,,,,,,
体,…お じいさん は ６ 体 の お 地蔵 さま…,名詞,,en,からだ - health; body,,,,,,
帰り道,吹雪 の 中 の 帰り道、 お じいさん は ６…,名詞,,en,"n. (Hira=かえりみち) return trip, way back",,,,,,
気配,…吹雪 に なり そうな 気配 が した ので、 笠…,名詞,,en,"n. (Hira=けはい) indication, sign, market trend; worry",,,,,,
そうな,…は 吹雪 に なり そうな 気配 が した ので、…,,,en,Likely,,,,,,
吹雪,お じいさん は 吹雪 に なり そうな 気配…,名詞,,en,Snowstorm,,,,,,
売れません,…が、 ひと つ も 売れません でした。,,,en,I can't sell,,,,,,
売り,…中 を 笠 を 売り に 町 に 出かけます…,動詞,売る,en,売る (うる)- sell,,,,,,
笠,…雪 の 中 を 笠 を 売り に 町…,名詞,,en,"n. (Hira=かさ, Kata=カサ) bamboo hat; shade, lampshade",,,,,,
中,はい、 彼 は 休暇 中 フランス 語 を 勉強…,名詞,,en,"n.  (Hira=なか,ちゅう,じゅう) inside, interior part; middle,",en,"inside, interior part; middle; short for Middle School",,,,
雪,…大晦日、 お じいさん は 雪 の 中 を 笠…,名詞,,en,ゆき snow,en,"snow, Yuki (name)",,,,
年 も 迫った 大晦日,年 も 迫った 大晦日、 お じいさん は 雪…,,,en,New Year's Eve is approaching,,,,,,
大晦日,年 も 迫った 大晦日、 お じいさん は 雪…,名詞,,en,おおみそか New Year's Eve,,,,,,
迫った,年 も 迫った 大晦日、 お じいさん は…,動詞,迫る,en,"Hira=せまる) draw near, get near,",en,せまる	1: to approach; to draw near; to be imminent; ()  2: to press (someone for something); to urge; to compel,,,,
出かけます,…売り に 町 に 出かけます が、 ひと つ も…,,,en,Go out,en,to go out (e.g. on an excursion or outing); to leave; to depart; to start; to set out,,,,
住んで,彼 は ここ に 住んで いる のです か？,動詞,住む,en,(Hira=すむ) to live,en,"すむ (v5m,vi) to live; to reside; to dwell;",,,,
おばあ さん,…に お じいさん と おばあ さん が 住んで いました。,,,en,Grandmother,,,,,,
おばあ,…に お じいさん と おばあ さん が 住んで いました。,名詞,,en,Grandma,,,,,,
奥,…里 離れた 山 の 奥 に お じいさん と…,名詞,,en,"(Hira=おく) inner part, interior, inside, interior piece or portion, internal elem",,,,,,
山,…むかし、 ひと 里 離れた 山 の 奥 に お…,名詞,,en,"n.  (Hira=やま,さん) Mountain",,,,,,
離れた,むかし、 むかし、 ひと 里 離れた 山 の 奥 に…,動詞,離れる,en,"adj.  (Hira=はなれた) isolated, separated from others; far, distant   離れる v. (Hira=はなれる) be separated, disengage, disconnect",en,"to be separated; to be apart; to be distant, to leave; to go away",,,,
地蔵,…６ 体 の お 地蔵 さま を みつけました。,名詞,,en,Kshitigarbha Bodhisattva who guards over a human being,,,,,,
じいさん,…中 の 帰り道、 お じいさん は ６ 体 の…,名詞,,en,Old man,,,,,,
里,むかし、 むかし、 ひと 里 離れた 山 の 奥…,名詞,,en,"n.  (Hira=さと) home village,",en,Village,,,,
じぞう,かさ じぞう,名詞,,en,"n. (Kanji=地蔵) Jizo, Bodhisattva who guards over a human being",,,,,,
かさ,かさ じぞう,名詞,,en,Umbrella,en,"To lend, to loan, to rent out",,,,
場合,多く の 場合,名詞,,en,"n.  (Hira=ばあい) case, occasion, situation",,,,,,
多く,彼ら は 多く の 異なった 言語 で…,名詞,,en,"adv. (Hira=おおく) much, a great deal; more than",en,many; much; largely; abundantly; mostly,,,,
話して,イントネーション で 話して も,話す,動詞,en,"n.  (Hira=はなし) talk, speech; story; conversation",,,,,,
間違った,…の 発 話 で、 間違った アクセント や,動詞,間違う,en,"(Hira=まちがった) wrong, mistaken; incorrect, erroneous",,,,,,
話,ジェーン の 話 を 聞いて、 よし子 さん…,名詞,,en,"n. (Hira=はなし) talk, speech; story; conversation",,,,,,
発,しかし 日本 語 の 発 話 で、 間違った アクセント…,名詞,,en,"n.  (Hira=はつ) departure, beginning; pop; gun shot identifier",,,,,,
心配に,…いる の か と 心配に なります,形容詞,心配だ,en,心配 【しんぱい】(1) worry; concern; anxiety; (2) care; help; aid; assistance;,,,,,,
ふつうの,…に な がわ が ふつうの せんとう の デザイン を…,形容詞,ふつうだ,en,普通 ふつう	1: general; ordinary; usual; (Adverb)  2: normally; generally; usually; 3: (Abbreviation) train that stops at every station,,,,,,
がわ,その に な がわ が ふつうの せんとう の…,名詞,,en,"side, right/left of 3D, front/back of 2D",,,,,,
ラーメン,ラーメン はくぶつ かん..( n4) Ramen…,名詞,,en,Ramen,,,,,,
忍者,昔、 忍者 が 住んで いた 滋賀…,名詞,,en,n.  (Hira=にんじゃ) Ninja,,,,,,
昔,昔、 忍者 が 住んで いた…,名詞,,en,olden days,,,,,,
その後,で、 その後、 今 まで は 主に…,名詞,,en,"そのご/そののち -- after that, afterward, afterwards, succeeding that",,,,,,
出会う,…は ドラコ・ マルフォイ と 出会う まで の 話 だ。,動詞,,en,"v.  (Hira=であう) encounter, come across, meet by chance, run across, happen to encounter, happen upon -; meet, hold a rendezvous, have a date",,,,,,
ドラコ,でも それ は ドラコ・ マルフォイ と 出会う まで…,名詞,,en,Draco,,,,,,
ほしい,…スクリーン の コンピューター が ほしい です。,形容詞,,en,"(Kanji=欲しい) wanted, wished, requested, in need of, desired",,,,,,
小学校,A:４ 月 から 小学校 に 上がり ます ね。,名詞,,en,primary school,,,,,,
言いました,…仕事 に 就ける と 言いました。,,,en,"v.  (Alt=謂う,云う, Hira=いう) tell; say, remark",,,,,,
彼,彼 は 都合 が 悪い と 言って いる が 、 それ は 口実 で しか ない 。,,,en,kare - he,,,,,,
身,日本 語 を 身 に つける ため に…,名詞,,en,body,,,,,,
遠足,みんな で 遠足 に 行こう で は…,名詞,,en,Excursion,,,,,,
去年,去年、 北海道 に たくさんの 台風…,名詞,,en,last year,,,,,,
ストーブ,…は ベッド、 テレビ、 そして ストーブ です。,名詞,,en,Stove,,,,,,
きょう,とう きょう の すぎな み く…,名詞,,en,today,,,,,,
でも,…に、「 パーカー さん、 コーヒー でも いかが です か？,接続詞,,en,but,,,,,,
いきます,彼女 は 電気店 に いきます。,,,en,to go,,,,,,
シティ,…よる と、 ベルファスト の シティ 空港 の 80% の 飛行機…,名詞,,en,City,,,,,,
もっと,私 は もっと 勉強 す べきです。,副詞,,en,"もっと	(adv,on-mim) (some) more; even more; longer; further; (P)",,,,,,
どこ,しかし 彼 は どこ に 行く か わかりません。,指示詞,,en,"(Kanji=何処) where, in what location; how; to what location?; from what location",,,,,,
たく ない,会社 行き たく ない,,,en,I do not want,,,,,,
いう,…こと が ある、 と いう こと を 日本語 の…,形容詞,いい,en,言う to say; to utter; to declare,,,,,,
また,彼女 は また 自分 と 夫 の…,接続詞,,en,also; again,,,,,,
ここ,彼 は ここ に 住んで いる のです…,指示詞,,en,here,,,,,,
もしも,…つないで 空 を 見上げたら もしも あの 街 の どこ…,副詞,,en,"if, in the case of",,,,,,
テニス,私 は テニス を する の が…,名詞,,en,Tennis,,,,,,
なかった,…を 携帯 して い なかった こと を 理由 に、…,ない,形容詞,en,-nakatta: informal past negative,,,,,,
官,…を 理由 に、 警察 官 から 賄賂 を 要求…,名詞,,en,government service; chief,,,,,,
警察,…こと を 理由 に、 警察 官 から 賄賂 を…,名詞,,en,police,,,,,,
れました,…を 見せる よう 言わ れました。,,,en,It was,,,,,,
わかる,…の こと が たちどころに わかる なんて... ラジオ は なんて…,動詞,,en,know; understand,,,,,,
した んだ,…の 奥さん が びっくり した んだ と 思う わ。,,,en,I was,,,,,,
しかし,しかし 彼 は どこ に…,接続詞,,en,"but, however, yet",,,,,,
して います,…レストラン で 料理 を して います。,,,en,"shiteimasu: do, does",,,,,,
おっと,かぞく は おっと だけ、 ふた り で…,名詞,,en,husband,,,,,,
もし,もし 途中 で 誰 か…,副詞,,en,"conj.  if, in the case of, in case, supposing",,,,,,
して,…レストラン で 料理 を して います。,動詞,する,en,する - do; make 《a discovery》; try; attempt; play 《a game》; have,,,,,,
ため,彼 は 仕事 の ため に 車 を 運転します。,名詞,,en,ため sake; purpose; objective; aim​,,,,,,
館,…現地 の 日本 大使 館 が 注意 を よびかけて…,名詞,,en,かん house; hall; building​ やかた mansion; small castle​; nobleman; noblewoman​; boat cabin,,,,,,
大使,…から、 現地 の 日本 大使 館 が 注意 を…,名詞,,en,ambassador,,,,,,
現地,…さ れた こと から、 現地 の 日本 大使 館…,名詞,,en,local,,,,,,
理由,…い なかった こと を 理由 に、 警察 官 から…,名詞,,en,"(Hira=りゆう) reason, pretext, pretense, motive",,,,,,
パスポート,…人 旅行 者 が パスポート を 携帯 して い…,名詞,,en,Passport,,,,,,
ケニア,アフリカ 東部 の ケニア で、 日本 人 旅行…,名詞,,en,"n. Kenya, country in eastern Africa",,,,,,
東部,アフリカ 東部 の ケニア で、 日本…,名詞,,en,eastern part,,,,,,
神様,…エルメス） 神様 が さ,名詞,,en,God,,,,,,
イヤ,…て 終わる の は イヤ だ なあ,形容詞,イヤだ,en,(嫌 - いや) disagreeable; detestable; unpleasant; reluctant​,,,,,,
埋もれ,…キノ と 砂 に 埋もれ て 終わる の は…,動詞,埋もれる,en,to be buried; to be covered,,,,,,
砂,…ミイラ の キノ と 砂 に 埋もれ て 終わる…,名詞,,en,Sand,,,,,,
ミイラ,砂漠 の 真ん中 で ミイラ の キノ と 砂…,名詞,,en,"mummy, embalmed corpse, mummified corpse; mother (British)",,,,,,
砂漠,砂漠 の 真ん中 で ミイラ…,名詞,,en,(Hira=さばく) desert,,,,,,
こっち,でも こっち は どう なる の…,名詞,,en,"此方 this; this place, here, this person;",,,,,,
勝手,…が 干からびる の は 勝手 だ よ,形容詞,勝手だ,en,one's own convenience; one's way; selfishness​,,,,,,
干からびる,そりゃ あ キノ が 干からびる の は 勝手 だ…,動詞,,en,"adj. (Alt=乾涸びた, Hira=ひからびる) dry up, wither, shrivel",,,,,,
そりゃ,そりゃ あ キノ が 干からびる…,感動詞,,en,そりゃ	1: very; extremely; (Expression)  2: that is,,,,,,
戻,…さん の 所 へ 戻 ろ う,動詞,戻す,en,もど back,,,,,,
所,…お 師匠 さん の 所 へ 戻 ろ う,名詞,,en,place; spot,,,,,,
師匠,…間に合う から さ お 師匠 さん の 所 へ…,名詞,,en,"n. (Hira=ししょう) master, teacher, mentor, instructor, educator, preceptor, spiritual instructor, adviser, one who guides and teaches",,,,,,
間に合う,今 から だったら 間に合う から さ お 師匠…,動詞,,en,まにあう be in time for; to meet (a purpose); be good enough for;,,,,,,
だったら,今 から だったら 間に合う から さ お…,だ,判定詞,en,if it's the case,,,,,,
無理,…これ じゃあ 旅 なんて 無理 だ よ,名詞,,en,"unreasonable, impossible",,,,,,
旅,…最初 から これ じゃあ 旅 なんて 無理 だ よ,名詞,,en,travel,,,,,,
息遣い,（ キノ の 荒い 息遣い）,名詞,,en,"breathing, respiration, inhaling and exhaling",,,,,,
荒い,（ キノ の 荒い 息遣い）,形容詞,,en,"rough, harsh; rude; wild",,,,,,
そして,そして 我が 社 の 一員…,接続詞,,en,"then; and, with, together with; also, too",,,,,,
すいた,彼 は おなか の すいた お客様 に 食事 を…,動詞,すく,en,Hungry,,,,,,
だ けど,…耳 に 挟んだ ん だ けど、 うち の 会社 来年…,,,en,however,,,,,,
いえば,そう いえば 、 あなた に 似て いる 人 が います 。,,,en,Speaking of,,,,,,
べき,…と して 記念 す べき 第 一 歩 を…,助動詞,べきだ,en,"beki: should, must",,,,,,
なら,…チャンス が つかみたい の なら まだ 泣く の に…,なる,動詞,en,if; in the case of; as for,,,,,,
ない,…一生懸命 は 働き たく ない です。,形容詞,,en,"nai: verbal suffix, informal negative (not)",,,,,,
とき,…が お 休み の とき に、 遊園地 に 行こう…,名詞,,en,"toki - time, when",,,,,,
った,サ… サンダル で 来ちゃ った,う,接尾辞,en,-ta informal past suffix,,,,,,
けど,…作って みた ん だ けど、 どう かしら。,接続詞,,en,"but, however, yet",,,,,,
飲んだ んです,…コーヒー を 二 杯 飲んだ んです。,,,en,I drank,,,,,,
ただ,ただ の 噂 じゃない の。,連体詞,,en,"simply, purely",,,,,,
え,え、 誰 が そんな こと…,名詞,,zh-tw,Eh and,,,,,,
ながら,…など、 日本 に い ながら に して さまざまな 言葉…,助詞,,en,while; during; as; despite; although,,,,,,
加えて,日本 語 放送 に 加えて、 韓国 語、 中国 語、…,副詞,,en,in addition,,,,,,
聴き,…かじりついて 海外 放送 を 聴き ました。,動詞,聴く,en,Listen,,,,,,
かじりついて,…くれた） 短波 ラジオ に かじりついて 海外 放送 を 聴き…,動詞,かじりつく,en,"v. (Kanji=齧り付く) bite into, stick to, take a bite of, sink one's teeth into",,,,,,
短波,…父 が 買って くれた） 短波 ラジオ に かじりついて 海外…,名詞,,en,たんぱ short wave,,,,,,
たて,まだ 中学 に 入り たて に も かかわら ず、…,動詞,たつ,en,suffix:  2. just (done); freshly (baked); indicates activity only just occurred​,,,,,,
入り,まだ 中学 に 入り たて に も かかわら…,入る,動詞,en,"Hira=はいる get in, enter, go into",,,,,,
思い,…子供 心 に も 思い ました。,思う,動詞,en,"(Alt=想う, Hira=おもう) think, feel, deem, suppose, seem",,,,,,
心,…と... 子供 心 に も 思い ました。,名詞,,en,"n.  (Hira=こころ) heart, mind",,,,,,
のだろう,…便利 な 道具 な のだろう！,助動詞,のだ,en,Would,,,,,,
道具,…は なんて 便利 な 道具 な のだろう！,名詞,,en,"implement, tool, means",,,,,,
便利,…なんて... ラジオ は なんて 便利 な 道具 な のだろう！,形容詞,便利だ,en,"「べんり」Convinience, something useful．",,,,,,
なんて,…こと が たちどころに わかる なんて... ラジオ は なんて 便利…,副詞,,en,"adv.  (Kanji=何て) how, what, Really? (used to express surprise)",,,,,,
たちどころに,…中 の こと が たちどころに わかる なんて... ラジオ は…,副詞,,en,"立ち所に) at once,",,,,,,
わかって,…通じて 彼 に は わかって いた のです。,動詞,わかる,en,v. (Kanji=分かる) be understood,,,,,,
通じて,…こと は、 ニュース を 通じて 彼 に は わかって…,動詞,通ずる,en,"through, via, by way of",,,,,,
ニュース,…が 終わった こと は、 ニュース を 通じて 彼 に…,名詞,,en,news,,,,,,
終わった,実は、 戦争 が 終わった こと は、 ニュース を…,動詞,終わる,en,"Done v.  (Hira=おわる) finish, end, be terminated, bring to an end",,,,,,
