term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4,meaninglanguage5,meaning5
acabarte,"…que un día empezaste, acabarte el episodio de la…",,,,,,,,,,,,,,,,,,,,,en,to finish,,,,,,,,
acabó,Se acabó el payaso.,Verb,pretérito perfecto simple,él/ella/ud.,acabar,acabarse,Noun,sustantivo,verbo,acabar,pretérito perfecto simple,él/ella/ud.,acabarse,,,,,,,,,en,"v.  finish, terminate, end;",,,,,,,,
acaparan,Acaparan los medios de comunicación…,Verb,presente,ellos/ellas/uds.,acaparar,verbo,presente,ellos/ellas/uds.,acaparar,,,,,,,,,,,,,en,they monopolize,,,,,,,,
acari,"Los ácaros( Acarina o Acari, del griego akarés,"" diminuto"",""…",,,,,,,,,,,,,,,,,,,,,en,Acarina or Acari are a taxon of arachnids that contains mites and ticks,,,,,,,,
ácaros,"Los ácaros( Acarina o Acari, del…",Noun,,,,,,,,,,,,,,,,,,,,en,mites,,,,,,,,
acaso,Acaso tengo cara de idiota?,Adverb,Noun,sustantivo,adverbio,,,,,,,,,,,,,,,,,en,perhaps,,,,,,,,
accidente,…recibieron la noticia del accidente ferroviario y el nombre…,Verb,él/ella/ud.,imperativo,subjuntivo presente,accidentar,accidentarse,Noun,imperativo,verbo,subjuntivo presente,él/ella/ud.,accidentar,accidentarse,,,,,,,,en,accident,,,,,,,,
accionista,…hubiera sido el principal accionista de la empresa? En…,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,shareholder,,,,,,,,
acelerar,buenos días y quiero acelerar,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to accelerate,,,,,,,,
acentúo,…la mala reputación se acentúo en,,,,,,,,,,,,,,,,,,,,,en,it accentuated,,,,,,,,
acerca,…entonces dió una charla acerca de su descubrimiento.,Verb,él/ella/ud.,presente,acercar,acercarse,Adjective,Adverb,verb,adjective,presente,adverb,acercar,él/ella/ud.,acercarse,,,,,,,en,about,,,,,,,,
acercándose,"…exclamó Caperucita Roja, acercándose a la cama.",,,,,,,,,,,,,,,,,,,,,en,approaching,,,,,,,,
acerqué,Yo me acerqué al niño y le,Verb,yo,pretérito perfecto simple,acercar,acercarse,Noun,,,,,,,,,,,,,,,en,I approached,,,,,,,,
acertijos,acertijos sin resolver más antiguos…,Noun,noun,,,,,,,,,,,,,,,,,,,en,riddles,,,,,,,,
aclarándose,…y el misterio va aclarándose gradualmente a medida que…,,,,,,,,,,,,,,,,,,,,,en,becoming clearer,,,,,,,,
aclare,Quizá… esto te lo aclare.,Verb,él/ella/ud.,imperativo,subjuntivo presente,aclarar,aclararse,imperativo,verbo,aclararse,aclarar,subjuntivo presente,él/ella/ud.,,,,,,,,,en,clarify,,,,,,,,
acompáñeme,Ajá… un latino indocumentado...¡ Acompáñeme!,,,,,,,,,,,,,,,,,,,,,en,come with me,,,,,,,,
acontecimientos,Pero sabemos que hay acontecimientos que no pueden contarse,Noun,,,,,,,,,,,,,,,,,,,,en,"events, occurences,occasions",,,,,,,,
acordarme,"…cuyo nombre no quiero acordarme, no ha mucho tiempo…",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,acordarse: to remember,,,,,,,,
acostumbrada,Está acostumbrada a dar una vuelta…,Adjective,adjetivo,,,,,,,,,,,,,,,,,,,en,accustomed; used to *,,,,,,,,
acostumbrado,…tema que no estoy acostumbrado a usar el vocabulario…,Verb,yo,pretérito perfecto compuesto,acostumbrar,acostumbrarse,Adjective,verbo,yo,acostumbrarse,acostumbrar,pretérito perfecto compuesto,,,,,,,,,,en,(have) accustomed,,,,,,,,
acta,"…jurados dimos lectura al acta, que destacaba los méritos…",Noun,,,,,,,,,,,,,,,,,,,,en,"n.  act; record; minutes, notes of the proceedings of a meeting",,,,,,,,
activamente,…gente viese que trabajaban activamente en la confección de…,Adverb,,,,,,,,,,,,,,,,,,,,en,actively,,,,,,,,
actualizada,…está la versión más actualizada del calendario.,Adjective,adjetivo,,,,,,,,,,,,,,,,,,,en,updated,,,,,,,,
acuden,Tengo muchísimos clientes que acuden a mí porque son…,Verb,presente,ellos/ellas/uds.,acudir,acudir,verbo,presente,ellos/ellas/uds.,,,,,,,,,,,,,en,"resort to, turn to, come, attend",,,,,,,,
acuíferos,…por debajo de los acuíferos de agua dulce.,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,aquifers,,,,,,,,
acusa,"Cuidado, el ejército los acusa a ellos",Verb,él/ella/ud.,presente,acusar,acusarse,verb,presente,él/ella/ud.,acusar,acusarse,,,,,,,,,,,en,it accuses,,,,,,,,
acusar,Acusar a los que estamos…,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,to accuse,,,,,,,,
acusaron,acusaron de vender tarjetas SIM…,Verb,pretérito perfecto simple,ellos/ellas/uds.,acusar,acusarse,verb,pretérito perfecto simple,ellos/ellas/uds.,acusar,acusarse,,,,,,,,,,,en,accused,,,,,,,,
adaptaran,…que si los turcos adaptaran el estilo de vida…,Verb,ellos/ellas/uds.,subjuntivo pretérito imperfecto,adaptar,adaptarse,verb,adaptar,ellos/ellas/uds.,adaptarse,subjuntivo pretérito imperfecto,,,,,,,,,,,en,adapt,,,,,,,,
adarga,"…de lanza en astillero, adarga antigua, rocín flaco y…",Verb,él/ella/ud.,presente,adargar,adargarse,Noun,sustantivo,verbo,presente,él/ella/ud.,adargar,adargarse,,,,,,,,,en,hard leather shield,,,,,,,,
adecuada,…ha aparecido la persona adecuada... y tal vez sea…,Adjective,,,,,,,,,,,,,,,,,,,,en,"adj. adequate, suitable, appropriate",,,,,,,,
adecuadas,…el tipo de palabras adecuadas para no ofender a…,Adjective,,,,,,,,,,,,,,,,,,,,en,adequate ; suitable ; appropriate,,,,,,,,
además,"…de humor e ingenio, además de una gran crítica…",Adverb,adverbio,,,,,,,,,,,,,,,,,,,en,"besides, moreover, furthermore",,,,,,,,
adentramos,"…Qué?( TV)"" Nos adentramos en los barrios",Verb,presente,nosotros,adentrar,adentrarse,verb,nosotros,presente,adentrarse,adentrar,,,,,,,,,,,en,we delve into,,,,,,,,
adentraron,Ellos se adentraron en el bosque.,Verb,pretérito perfecto simple,ellos/ellas/uds.,adentrar,adentrarse,verb,pretérito perfecto simple,ellos/ellas/uds.,adentrarse,adentrar,,,,,,,,,,,en,they entered,,,,,,,,
adentro,inflado con un elefante adentro y cuando le enseñé,Verb,yo,presente,adentrar,adentrarse,Adverb,Noun,,,,,,,,,,,,,,en,"in, indoors, inward , interieur",,,,,,,,
adicionales,…un boletín con notas adicionales para profundizar en la…,Adjective,,,,,,,,,,,,,,,,,,,,en,Additional,,,,,,,,
adinerada,…poodle de una mujer adinerada.,Adjective,adjetivo,,,,,,,,,,,,,,,,,,,en,"wealthy, rich",,,,,,,,
adivináis,…Y a que no adivináis cómo es cada vez…,Verb,presente,vosotros,adivinar,adivinarse,verbo,presente,adivinar,vosotros,adivinarse,,,,,,,,,,,en,Guess,,,,,,,,
admiradores,…Tiene hasta páginas de admiradores?,Noun,noun,,,,,,,,,,,,,,,,,,,en,admirers,,,,,,,,
adónde me llevas,"Eh,¿ adónde me llevas?",,,,,,,,,,,,,,,,,,,,,en,where are you taking me,,,,,,,,
adorables,…sobre rubias bobas pero adorables que se enamoran de…,,,,,,,,,,,,,,,,,,,,,en,adorable,,,,,,,,
adoración,…exclusivamente al culto de adoración.,Noun,,,,,,,,,,,,,,,,,,,,en,worship,,,,,,,,
adulta,…pulgas pasan su vida adulta completa en su superficie..,Adjective,Noun,,,,,,,,,,,,,,,,,,,en,adult,,,,,,,,
adulto,"era muy mayor, demasiado adulto para poder ver ovejas",Adjective,Noun,,,,,,,,,,,,,,,,,,,en,adult,,,,,,,,
advertirle,…Tengo que advertirle a todos!”,,,,,,,,,,,,,,,,,,,,,en,warn,,,,,,,,
advierte,…su habitación y le advierte que una amenaza mortal…,Verb,él/ella/ud.,presente,advertir,verbo,presente,advertir,él/ella/ud.,,,,,,,,,,,,,en,"point out, warn, caution",,,,,,,,
afán,"…lo negativo, en su afán nacionalista",Noun,noun,,,,,,,,,,,,,,,,,,,en,eagerness,,,,,,,,
afectaba,…un loco no le afectaba mucho.,Verb,yo,indicativo pretérito imperfecto,afectar,afectarse,verbo,yo,afectar,afectarse,indicativo pretérito imperfecto,,,,,,,,,,,en,affected,,,,,,,,
aficionado,…trataba de que un aficionado fuera a la comunidad…,Verb,yo,pretérito perfecto compuesto,aficionar,aficionarse,Adjective,Noun,sustantivo,adjetivo,verbo,yo,pretérito perfecto compuesto,aficionarse,aficionar,,,,,,,en,amateur,,,,,,,,
afilada,…un arma blanca y afilada.,Adjective,adjective,,,,,,,,,,,,,,,,,,,en,sharp,,,,,,,,
afirman,…cargo en enero y afirman que el presidente favorece…,Verb,presente,ellos/ellas/uds.,afirmar,afirmarse,verbo,presente,afirmar,ellos/ellas/uds.,afirmarse,,,,,,,,,,,en,claim,,,,,,,,
afortunada,…mi sobrina fue muy afortunada en su cumpleaños.,Adjective,,,,,,,,,,,,,,,,,,,,en,happy,,,,,,,,
afortunadamente,"Afortunadamente, los mitos y las…",Adverb,Noun,,,,,,,,,,,,,,,,,,,en,fortunately,,,,,,,,
afuera,"…por la ventana hacia afuera, del mismo modo en…",Verb,él/ella/ud.,presente,aforar,Adverb,Noun,sustantivo,adverbio,verbo,presente,él/ella/ud.,aforar,,,,,,,,,en,outside,,,,,,,,
agarrarnos,"precisamente para no agarrarnos a golpes, sí es…",,,,,,,,,,,,,,,,,,,,,en,to get ourselves,,,,,,,,
agitada,…mujer jadea agitada],Adjective,adjetivo,,,,,,,,,,,,,,,,,,,en,"adj. agitated, excited, flurried; billowy",,,,,,,,
agobiente,…con buenos ojos el agobiente ajetreo de sus hijos.,,,,,,,,,,,,,,,,,,,,,en,overwhelming,,,,,,,,
agradable,"…era una persona sociable, agradable, humanitaria.",Adjective,Noun,,,,,,,,,,,,,,,,,,,en,"pleasant, you",,,,,,,,
agradables,…Lucen tan agradables y maduras...¡ y tan…,Adjective,adjective,,,,,,,,,,,,,,,,,,,en,pleasant,,,,,,,,
agradecido,Agradecido por la ayuda de…,Verb,yo,pretérito perfecto compuesto,agradecer,Adjective,adjetivo,verbo,yo,pretérito perfecto compuesto,agradecer,,,,,,,,,,,en,"adj. grateful,, thankful;",,,,,,,,
agradezco,"Te agradezco mucho que quieras ayudarme,…",Verb,yo,presente,agradecer,verbo,presente,yo,agradecer,,,,,,,,,,,,,en,appreciate,,,,,,,,
agregan,…geológicas particulares que le agregan valor como su importante…,Verb,presente,ellos/ellas/uds.,agregar,agregarse,agregar,verbo,presente,ellos/ellas/uds.,agregarse,,,,,,,,,,,en,They add,,,,,,,,
aguantaba,"Entonces, yo ya no aguantaba más.",Verb,yo,indicativo pretérito imperfecto,aguantar,aguantarse,verb,aguantar,yo,aguantarse,indicativo pretérito imperfecto,,,,,,,,,,,en,I couldn't take it anymore.,,,,,,,,
agudos,…de temperatura me causaban agudos dolores.,Adjective,Noun,sustantivo,adjetivo,,,,,,,,,,,,,,,,,en,acute,,,,,,,,
aguja,Una aguja indicadora señala el momento…,Verb,él/ella/ud.,presente,agujar,Noun,verbo,presente,él/ella/ud.,agujar,,,,,,,,,,,,en,"aguja (f) n. needle; pointer, hand on a clock;",,,,,,,,
agujero,…Vuelve arrastrándote al agujero del que saliste!,Verb,yo,presente,agujerar,Noun,verb,noun,presente,yo,agujerar,,,,,,,,,,,en,"hole, perforation",,,,,,,,
ahí,Mira ahí.,Adverb,Noun,,,,,,,,,,,,,,,,,,,en,there,,,,,,,,
ahogado,…mujer]¿ Se ha ahogado?,Verb,yo,pretérito perfecto compuesto,ahogar,ahogarse,Adjective,Adverb,verb,adjective,yo,adverb,ahogar,pretérito perfecto compuesto,ahogarse,,,,,,,en,"ahogar - choked, unable to breathe",,,,,,,,
ahogarse,…te preguntaste cómo es ahogarse?,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to drown,,,,,,,,
ahogase,Dejé que se ahogase con su propia sangre,Verb,yo,subjuntivo pretérito imperfecto,ahogar,ahogarse,verbo,yo,ahogar,ahogarse,subjuntivo pretérito imperfecto,,,,,,,,,,,en,"drowned, suffocated",,,,,,,,
ahogó,"…hijo de los Dursley, ahogó sus palabras.",Verb,pretérito perfecto simple,él/ella/ud.,ahogar,ahogarse,verbo,ahogar,pretérito perfecto simple,él/ella/ud.,ahogarse,,,,,,,,,,,en,suffocation,,,,,,,,
ahorita,llamó mucho mi atención ahorita,Noun,,,,,,,,,,,,,,,,,,,,en,"immediately, right now",,,,,,,,
aislamiento,El aislamiento Por cierto: de estos…,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,"isolation, insulation; remoteness; privacy",,,,,,,,
ajá,Ajá… un latino indocumentado...¡ Acompáñeme!,Noun,,,,,,,,,,,,,,,,,,,,en,"splendid, fine; aha",,,,,,,,
ajetreo,…buenos ojos el agobiente ajetreo de sus hijos.,Verb,yo,presente,ajetrear,ajetrearse,verbo,presente,yo,ajetrear,ajetrearse,,,,,,,,,,,en,"hustle and bustle   ajetrear - annoy, bother, harass; enslave",,,,,,,,
akarés,"…o Acari, del griego akarés,"" diminuto"","" que no se…",,,,,,,,,,,,,,,,,,,,,en,akarés,,,,,,,,
al,"Al ladito de la caldera,…",Noun,Preposition,sustantivo,preposición,,,,,,,,,,,,,,,,,en,to the; to,,,,,,,,
alacena,…gigante fue a la alacena y sacó una gallina…,Noun,noun,,,,,,,,,,,,,,,,,,,en,pantry,,,,,,,,
alargadas,"Muertes alargadas, personajes que parecemos clichés.",Adjective,adjetivo,,,,,,,,,,,,,,,,,,,en,"alargar - lengthen, stretch",,,,,,,,
alas,El rey de las alas negras.,Verb,presente,alarse,Noun,verb,noun,presente,alarse,,,,,,,,,,,,,en,wings,,,,,,,,
alcachofas,"…Callosa d'En Sarriá, las alcachofas de la Vega Baja…",Verb,presente,tú,alcachofar,Noun,tú,verbo,presente,alcachofar,,,,,,,,,,,,en,artichokes,,,,,,,,
alcancé,…levanté rápidamente y le alcancé la mitad de una…,Verb,yo,pretérito perfecto simple,alcanzar,alcanzarse,verb,yo,alcanzar,pretérito perfecto simple,alcanzarse,,,,,,,,,,,en,reached,,,,,,,,
alcancía,…y representa una preciosa alcancía de electricidad disponible en…,,,,,,,,,,,,,,,,,,,,,en,(f) collection box,,,,,,,,
alcanza,"…quienes ya no les alcanza ni para comer,",Verb,él/ella/ud.,presente,alcanzar,alcanzarse,verb,presente,alcanzar,él/ella/ud.,alcanzarse,,,,,,,,,,,en,it is enough,,,,,,,,
alcanzas,…de que no me alcanzas.,Verb,presente,tú,alcanzar,alcanzarse,verb,tú,presente,alcanzar,alcanzarse,,,,,,,,,,,en,you reach,,,,,,,,
alcanzó,"Cuando alcanzó la cima, tenía mucha…",Verb,pretérito perfecto simple,él/ella/ud.,alcanzar,alcanzarse,verb,alcanzar,pretérito perfecto simple,él/ella/ud.,alcanzarse,,,,,,,,,,,en,he/she reached,,,,,,,,
aldea,…más ocupado de la aldea.,Noun,noun,,,,,,,,,,,,,,,,,,,en,small village,,,,,,,,
alegre,…de Luna siempre está alegre y transmite luz a…,Verb,él/ella/ud.,imperativo,subjuntivo presente,alegrar,alegrarse,Adjective,Noun,verb,noun,imperativo,adjective,alegrarse,subjuntivo presente,alegrar,él/ella/ud.,,,,,en,cheerful,,,,,,,,
alegría,"ni alegría,",Noun,noun,,,,,,,,,,,,,,,,,,,en,joy,,,,,,,,
alejada,"Vaca Muerta se encuentra alejada de centros urbanos, lo…",Adjective,adjetivo,,,,,,,,,,,,,,,,,,,en,"remote, removed from",,,,,,,,
alejados,…a reunirse en lugares alejados de las calles fue…,Adjective,,,,,,,,,,,,,,,,,,,,en,"outlying, further afield",,,,,,,,
alejarte,Nunca supiste cuándo alejarte.,,,,,,,,,,,,,,,,,,,,,en,get away,,,,,,,,
alemán,"…una palabra del alto alemán antiguo:“ Heri”,",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,German,,,,,,,,
alemania,"…más grandes de Europa: Alemania,",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,Germany,,,,,,,,
aletargada,"Después se queda aletargada, o sea, se queda…",,,,,,,,,,,,,,,,,,,,,en,sluggish,,,,,,,,
alfarero,"…Potter”? En inglés significa…¡ alfarero! Guau,",Noun,noun,,,,,,,,,,,,,,,,,,,en,pottery,,,,,,,,
alfombras,…y tranquilos como las alfombras( una larva puede desplazarse 40…,Verb,presente,tú,alfombrar,Noun,tú,verbo,presente,alfombrar,,,,,,,,,,,,en,"carpet, rug",,,,,,,,
algo,"…allí, nos encontramos con algo impactante.",Pronoun,Adverb,,,,,,,,,,,,,,,,,,,en,"something, anything",,,,,,,,
alguien,Jennifer: Alguien en Chile se da…,Pronoun,Noun,,,,,,,,,,,,,,,,,,,en,someone,,,,,,,,
algún,…de mí siguen de algún modo pareciéndome especialmente dulces.,Pronoun,Noun,,,,,,,,,,,,,,,,,,,en,some,,,,,,,,
alguna,Alguna está un poco peor…,Adjective,Pronoun,pronombre,adjetivo,,,,,,,,,,,,,,,,,en,some,,,,,,,,
alguno,…así como para impulsar alguno de los innumerables artefactos…,Pronoun,Adverb,,,,,,,,,,,,,,,,,,,en,"some, any; a few",,,,,,,,
algunos,"…ninguna preposición, aunque en algunos casos podemos utilizar la…",Pronoun,,,,,,,,,,,,,,,,,,,,en,some; a few,,,,,,,,
alicate,…se me cayó un alicate al suelo con un…,Verb,él/ella/ud.,imperativo,alicatar,verb,imperativo,él/ella/ud.,alicatar,,,,,,,,,,,,,en,pliers,,,,,,,,
alimentado,bien hidratado y alimentado. Un resfriado se puede…,Verb,yo,pretérito perfecto compuesto,alimentar,alimentarse,verb,yo,pretérito perfecto compuesto,alimentarse,alimentar,,,,,,,,,,,en,fed,,,,,,,,
alimentaria,…través de la cadena alimentaria.,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,food,,,,,,,,
alimentarte,Tenemos que alimentarte bien mientras podamos... No…,,,,,,,,,,,,,,,,,,,,,en,feed you,,,,,,,,
alimento,nuestros estómagos convierten ese alimento en energía para nuestro…,Verb,yo,presente,alimentar,alimentarse,Noun,verb,noun,presente,yo,alimentarse,alimentar,,,,,,,,,en,food,,,,,,,,
alivies,"…descansando, para que te alivies",Verb,tú,subjuntivo presente,aliviar,aliviarse,aliviar,verb,tú,subjuntivo presente,aliviarse,,,,,,,,,,,en,you recover,,,,,,,,
allá,…en la tierra hacia allá arriba al cielo.,Adverb,Noun,noun,adverb,,,,,,,,,,,,,,,,,en,there,,,,,,,,
allí,"Cuando entramos allí, nos encontramos con algo…",Adverb,,,,,,,,,,,,,,,,,,,,en,there; over there,,,,,,,,
almacenada,"…quemado, activando la energía almacenada",,,,,,,,,,,,,,,,,,,,,en,stored,,,,,,,,
almohada,…mi hermano a su almohada.,Noun,noun,,,,,,,,,,,,,,,,,,,en,pillow,,,,,,,,
almorzar,…tenían tiempo libre para almorzar.,Verb,participio pasado,Noun,verbo,participio pasado,,,,,,,,,,,,,,,,fr,"have a dinner, lunch",,,,,,,,
alojamiento,…puede ofrecer trabajo ni alojamiento ni siquiera transporte a…,Noun,,,,,,,,,,,,,,,,,,,,en,"a place to stay, accomodation",,,,,,,,
alquilando,"…las compañías navieras, están alquilando sus propios barcos para",Verb,gerundio,alquilar,verb,gerundio,alquilar,,,,,,,,,,,,,,,en,renting,,,,,,,,
alrededor,"…primero sofocándola al enroscarse alrededor de su víctima, y…",Adverb,Noun,sustantivo,adverbio,,,,,,,,,,,,,,,,,en,"round, around",,,,,,,,
altanera,"…bella, pero orgullosa y altanera, y no podía sufrir…",,,,,,,,,,,,,,,,,,,,,en,haughty,,,,,,,,
altas,"…los polos y las altas montañas, los desiertos, el…",Adjective,Noun,,,,,,,,,,,,,,,,,,,en,high,,,,,,,,
alternase,…un caballero tan misterioso alternase con los miembros de…,Verb,yo,subjuntivo pretérito imperfecto,alternar,verb,yo,alternar,subjuntivo pretérito imperfecto,,,,,,,,,,,,,en,"To alternate, to socialize",,,,,,,,
altísimas,por las altísimas expectativas en torno al…,Adjective,adjetivo,,,,,,,,,,,,,,,,,,,en,extremely high,,,,,,,,
altura,"Poniéndome a su altura yo entonces, les hablaba...",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,height,,,,,,,,
alturas,…tenía miedo a las alturas.,Noun,noun,,,,,,,,,,,,,,,,,,,en,heights,,,,,,,,
alumbrado,"…momento para fines de alumbrado y calefacción, así como…",Verb,yo,pretérito perfecto compuesto,alumbrar,alumbrarse,Noun,verbo,yo,pretérito perfecto compuesto,alumbrarse,alumbrar,,,,,,,,,,en,"(m) lighting, illumination",,,,,,,,
ama,"…celos indican que me ama, mi pareja va a…",Verb,él/ella/ud.,presente,amar,amarse,Noun,verbo,presente,amar,él/ella/ud.,amarse,,,,,,,,,,en,she/he loves,,,,,,,,
amá,"…de su ropa, pero amá eligió el amarillo chillón…",,,,,,,,,,,,,,,,,,,,,en,Amd,,,,,,,,
amabilidad,"…doctor, tendrá usted la amabilidad de ocuparse de mi…",Noun,noun,,,,,,,,,,,,,,,,,,,en,kindness,,,,,,,,
amable,…una mujer buena y amable.,Adjective,adjective,,,,,,,,,,,,,,,,,,,en,kind,,,,,,,,
amada,"…mí misma, puedo sentirme amada a través de los…",Adjective,Noun,,,,,,,,,,,,,,,,,,,en,"loved, beloved",,,,,,,,
amanezca,"…vuelta antes de que amanezca,¿ vale?",Verb,él/ella/ud.,subjuntivo presente,amanecer,amanecerse,verb,subjuntivo presente,él/ella/ud.,amanecer,amanecerse,,,,,,,,,,,en,dawn,,,,,,,,
amante,"…la señora Flores, una amante de las artes.",Verb,él/ella/ud.,imperativo,amantar,Noun,sustantivo,imperativo,verbo,él/ella/ud.,amantar,,,,,,,,,,,en,n. lover,,,,,,,,
amar,"…del otro, y puedo amar sin temor a sufrir.",Verb,participio pasado,Noun,verbo,participio pasado,,,,,,,,,,,,,,,,en,"amar - to love, amarte - to love you",,,,,,,,
ambiciosa,…a la vez muy ambiciosa: hacer realidad los sueños…,Adjective,adjetivo,,,,,,,,,,,,,,,,,,,en,ambitious,,,,,,,,
ambicioso,…un objetivo sencillo pero ambicioso: convertir los sueños de…,Adjective,Noun,sustantivo,adjetivo,,,,,,,,,,,,,,,,,en,adj. ambitiious,,,,,,,,
ambiente,…huevos caen al medio ambiente donde terminan su desarrollo.,Verb,él/ella/ud.,imperativo,subjuntivo presente,ambientar,ambientarse,Adjective,Noun,imperativo,verbo,subjuntivo presente,él/ella/ud.,ambientar,ambientarse,,,,,,,en,environment,,,,,,,,
ambientes,…que se mueven en ambientes que están o estuvieron…,Verb,tú,subjuntivo presente,ambientar,ambientarse,Noun,tú,verbo,subjuntivo presente,ambientar,ambientarse,,,,,,,,,,en,environments,,,,,,,,
ambulante,…un podcast de Radio Ambulante Estudios.,Adjective,Noun,,,,,,,,,,,,,,,,,,,en,"(adj) mobile, walking, traveling",,,,,,,,
amenaza,…le advierte que una amenaza mortal se cierne sobre…,Verb,él/ella/ud.,presente,amenazar,Noun,sustantivo,verbo,presente,él/ella/ud.,amenazar,,,,,,,,,,,en,"menace, threat; assault",,,,,,,,
amenazándola,"Amenazándola con el martillo"".",,,,,,,,,,,,,,,,,,,,,en,threatening,,,,,,,,
amenazantes,"Entretanto, dos ojos amenazantes la observaban desde detrás…",Adjective,adjective,,,,,,,,,,,,,,,,,,,en,threatening,,,,,,,,
amigable,…a tener que ser amigable con ellas si quiero…,Adjective,adjective,,,,,,,,,,,,,,,,,,,en,friendly,,,,,,,,
amígdala,"…no lo controla la amígdala,",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,tonsil,en,amygdala,,,,,,
amistad,describió al narrador su amistad con el zorro. Como,Verb,imperativo,vosotros,amistar,Noun,,,,,,,,,,,,,,,,en,friendship,,,,,,,,
amistosa,…no era bondadosa y amistosa en absoluto.,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,friendly,,,,,,,,
amo,"…es que no le amo, el mito de la…",Verb,yo,presente,amar,amarse,Noun,verbo,presente,yo,amar,amarse,,,,,,,,,,en,n. owner; householder,,,,,,,,
amontonados,están ahora amontonados en algunos de esos…,,,,,,,,,,,,,,,,,,,,,en,heaped,,,,,,,,
